gh_desc,Work Hours,Respondents,percentage,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Full-time: 31 or more hours worked,186251,74.95,,,,,,,,,,,,,,,,,,,,,,,,
Good health,Part-time: 30 hours or less worked,58529,25.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Work Hours,Respondents,Percentage,Good Health,Not Good Health,,,,,,,,,,,,,,,,,,,,,,,
trvlmode_cat_3,197.49,0,,,,,,,trvlmode_cat_3,0.03,197.49,0,,,,trvlmode_cat_3,0.03,197.49,0,"[[248543.08358489  36184.91641511]
 [  9973.91641511   1452.08358489]]",,,trvlmode_cat_3,0.03,197.49,0,"[[ 36184.91641511 248543.08358489]
 [  1452.08358489   9973.91641511]]"
trvlmode_cat_7,164.73,0,,,,,,,trvlmode_cat_7,0.02,164.73,0,,,,trvlmode_cat_7,0.02,164.73,0,"[[231269.85953254  33670.14046746]
 [ 27247.14046746   3966.85953254]]",,,trvlmode_cat_7,0.02,164.73,0,"[[ 33670.14046746 231269.85953254]
 [  3966.85953254  27247.14046746]]"
trvlmode_cat_10,158.37,0,,,,,,,trvlmode_cat_10,0.02,158.37,0,,,,trvlmode_cat_10,0.02,158.37,0,"[[241679.36007955  35185.63992045]
 [ 16837.63992045   2451.36007955]]",,,trvlmode_cat_10,0.02,158.37,0,"[[ 35185.63992045 241679.36007955]
 [  2451.36007955  16837.63992045]]"
trvlmode_cat_4,34.77,0,,,,,,,trvlmode_cat_4,0.01,34.77,0,,,,trvlmode_cat_4,0.01,34.77,0,"[[247217.99999325  35992.00000675]
 [ 11299.00000675   1644.99999325]]",,,trvlmode_cat_4,0.01,34.77,0,"[[ 35992.00000675 247217.99999325]
 [  1644.99999325  11299.00000675]]"
trvlmode_cat_6,32.42,0,,,,,,,trvlmode_cat_6,0.01,32.42,0,,,,trvlmode_cat_6,0.01,32.42,0,"[[2.57266114e+05 3.74548859e+04]
 [1.25088589e+03 1.82114106e+02]]",,,trvlmode_cat_6,0.01,32.42,0,"[[3.74548859e+04 2.57266114e+05]
 [1.82114106e+02 1.25088589e+03]]"
trvlmode_cat_11,25.33,0,,,,,,,trvlmode_cat_11,0.01,25.33,0,,,,trvlmode_cat_11,0.01,25.33,0,"[[256290.19615133  37312.80384867]
 [  2226.80384867    324.19615133]]",,,trvlmode_cat_11,0.01,25.33,0,"[[ 37312.80384867 256290.19615133]
 [   324.19615133   2226.80384867]]"
hrs_wrkd_cat_1,16.99,0,,,,,,,hrs_wrkd_cat_1,0.01,16.99,0,,,,hrs_wrkd_cat_1,0.01,16.99,0,"[[200300.61337682  29161.38662318]
 [ 58216.38662318   8475.61337682]]",,,hrs_wrkd_cat_1,0.01,16.99,0,"[[ 29161.38662318 200300.61337682]
 [  8475.61337682  58216.38662318]]"
trvlmode_cat_8,9.76,0,,,,,,,trvlmode_cat_8,0.01,9.76,0,,,,trvlmode_cat_8,0.01,9.76,0,"[[2.56821801e+05 3.73901992e+04]
 [1.69519917e+03 2.46800833e+02]]",,,trvlmode_cat_8,0.01,9.76,0,"[[3.73901992e+04 2.56821801e+05]
 [2.46800833e+02 1.69519917e+03]]"
nssec_cat_7,9.26,0,,,,,,,nssec_cat_7,0.01,9.26,0,,,,nssec_cat_7,0.01,9.26,0,"[[245841.41447017  35791.58552983]
 [ 12675.58552983   1845.41447017]]",,,nssec_cat_7,0.01,9.26,0,"[[ 35791.58552983 245841.41447017]
 [  1845.41447017  12675.58552983]]"
nssec_cat_5,8.24,0,,,,,,,nssec_cat_5,0.01,8.24,0,,,,nssec_cat_5,0.01,8.24,0,"[[250838.84764683  36519.15235317]
 [  7678.15235317   1117.84764683]]",,,nssec_cat_5,0.01,8.24,0,"[[ 36519.15235317 250838.84764683]
 [  1117.84764683   7678.15235317]]"
nssec_cat_6,8.23,0,,,,,,,nssec_cat_6,0.01,8.23,0,,,,nssec_cat_6,0.01,8.23,0,"[[243623.33976242  35468.66023758]
 [ 14893.66023758   2168.33976242]]",,,nssec_cat_6,0.01,8.23,0,"[[ 35468.66023758 243623.33976242]
 [  2168.33976242  14893.66023758]]"
trvlmode_cat_5,1.13,0.29,,,,,,,trvlmode_cat_5,0,1.13,0.29,,,,trvlmode_cat_5,0,1.13,0.29,"[[2.57496563e+05 3.74884366e+04]
 [1.02043657e+03 1.48563426e+02]]",,,trvlmode_cat_5,0,1.13,0.29,"[[3.74884366e+04 2.57496563e+05]
 [1.48563426e+02 1.02043657e+03]]"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,undersampling,,,oversampling,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,wfh,trvlmode_cat_1: -0.18060768577916003,,,trvlmode_cat_1: -0.0920737718731508,,,,,,,,,,,,,,,
,,,,,,,,driving,trvlmode_cat_7: -0.7364176181428119,,,trvlmode_cat_7: 0.24088552632075236,,,,,,,,,,,,,,,
,,,,,,,,higher managerial,nssec_cat_1: -0.3343757550656494,,,nssec_cat_1: -0.6288516614832838,,,,,,,,,,,,,,,
,,,,,,,,never Worked,nssec_cat_8: -0.21046257468219573,,,nssec_cat_8: 2.0353909566663893,,,,,,,,,,,,,,,
,,,,,,,,Part time,hrs_wrkd_cat_1: -0.26137226716941303,,,hrs_wrkd_cat_1: 0.5556246532216887,,,,,,,,,,,,,,,
,,,,,,,,students,nssec_cat_9: 0.20459200414035983,,,nssec_cat_9: -0.9438871268082829,,,,,,,,,,,,,,,
,,,,,,,,lower managerial,nssec_cat_2: 0.07722940945679524,,,nssec_cat_2: -0.4478883270268908,,,,,,,,,,,,,,,
,,,,,,,,Bus mini,trvlmode_cat_4: -0.1829903524348722,,,trvlmode_cat_4: 0.45355651524627794,,,,,,,,,,,,,,,
,,,,,,,,Bicycle,trvlmode_cat_9: 0.007882686440476442,,,trvlmode_cat_9: -0.5337429228913213,,,,,,,,,,,,,,,
,,,,,,,,Other method,trvlmode_cat_11: 0.23620809558770664,,,trvlmode_cat_11: 0.683501417999976,,,,,,,,,,,,,,,
,,,,,,,,small employers,nssec_cat_4: -0.8246435184896852,,,nssec_cat_4: -0.25297995106604765,,,,,,,,,,,,,,,
,,,,,,,,Intermediate occupations,nssec_cat_3: -0.09183170641583906,,,nssec_cat_3: -0.17534278636838124,,,,,,,,,,,,,,,
,,,,,,,,Passenger,trvlmode_cat_8: 0.4627386747083426,,,trvlmode_cat_8: 0.5249121611579146,,,,,,,,,,,,,,,
,,,,,,,,Taxi,trvlmode_cat_5: -0.4230275417440359,,,trvlmode_cat_5: 0.27212600971894213,,,,,,,,,,,,,,,
,,,,,,,,,trvlmode_cat_10: -0.2516865285137188,,,trvlmode_cat_10: 0.14665762937402443,,,,,,,,,,,,,,,
